date,content,female,male
2024/1/25,"UML candidate Koirala elected as National Assembly member from Koshi Province, defeats her rival from ruling coalition BIRATNAGAR, Jan 25: CPN-UML's candidate Rukmini Koirala has been elected as a member of the National Assembly, defeating the ruling coalition's candidate in Koshi. BIRATNAGAR, Jan 25: CPN-UML's candidate Rukmini Koirala has been elected as a member of the National Assembly, defeating the ruling coalition's candidate in Koshi. She defeated the candidate of the Maoist Center Champa Devi Karki by about 100 votes. Koirala, who secured the support of UML and Rastriya Prajatantra Party (RPP), got 5,086 votes, while Champadevi Karki, who got the support of Nepali Congress, CPN (Maoist Center), CPN (Unified Socialist) and Janata Samajwadi Party (JSP) got 4,992 votes.",1,0
2024/1/7,"Maoist Center finalizes candidates for National Assembly elections KATHMANDU, Jan 7: The CPN (Maoist Center) has finalized the names of its candidates for the National Assembly election. KATHMANDU, Jan 7: The CPN (Maoist Center) has finalized the names of its candidates for the National Assembly election. The party’s office-bearers' meeting held at the Prime Minister's residence, Baluwatar, decided the names of the candidates for all the six seats allocated for the party in the National Assembly. The meeting finalized the names of Champa Devi Karki from Koshi, Sri Krishna Adhikari from Bagmati, Manrupa Sharma from Gandaki, Bishnu BK from Karnali, Jhakku Subedi from Lumbini and Renu Chand from Sudurpaschim.",1,0
2024/1/7,"UML finalizes 19 candidates for upcoming National Assembly election KATHMANDU, Jan 7: The CPN-UML has finalized 19 candidates for the National Assembly elections scheduled for January 25. KATHMANDU, Jan 7: The CPN-UML has finalized 19 candidates for the National Assembly elections scheduled for January 25. UML General Secretary Shankar Pokharel announced the decision after a Secretariat meeting held on Sunday, where the names of the 19 candidates were finalized. He said that the selected candidates demonstrate a commitment to diverse representation, with a strategic focus on specific regions and communities. Rukmini Koirala (Sunsari) has been nominated to represent women from the Koshi Province, while Parshuram Adhikari (Bhojpur) will be the candidate from another category. UML has also designated Usha Devi Tharuni (Parsa) to represent women in the Madhes Province, and Dr Arjun Kumar Singh Rajput (Mahottari) for the category of ‘others’. The Bagmati Province will see Rochkumari Chaulagai (Dolakha) and Trilochan Nirmal Poudel (Chitwan) representing women, and Bibek Devkota (Kathmandu) representing the disabled-minorities. Additionally, Dhruba Raj Bishwakarma (Dhading) has been confirmed as the Dalit representative. In Gandaki Province, the women’s candidates include Yamanda Devkota (Gorkha), while Chakra Bahadur Parajuli (Syangja) represents the ‘others’ category, and Hemandra Sherchan (Mustang) is the nominee for the disabled-minorities category. The Lumbini Province will have Tulsa Kumari KC (Dang) representing women, and Jhapendra Bahadur Gharti Chhetri (Palpa) for the ‘others’ category. The Karnali Province’s nominees are Bimala Kumari Shahi (Humla) representing women, Dilli Prasad Bhatta (Mugu) for ‘others’ category, and Hikmat BK (Dailekh) as the Dalit representative. The Sudurpaschim Province will see Sabitra Devi Ghimire (Kailali) representing women, Iswari Prasad Kharel (Kanchanpur) for ‘others’ category, and Ram Chandra Joshi (Kailali) as the nominee for disabled-minorities.",1,0
2024/1/8,"Unified Socialist fielding two candidates for National Assembly election KATHMANDU, Jan 8: The CPN (Unified Socialist) has fielded two candidates for the National Assembly election scheduled for January 25. KATHMANDU, Jan 8: The CPN (Unified Socialist) has fielded two candidates for the National Assembly election scheduled for January 25. The party has picked Ghanashyam Rijal of Dolakha from the Dalit quota and Sabitri Malla of Dailekh from the women quota of Karnali Province as its candidates, according to the party deputy general-secretary and spokesperson Jagannath Khatiwada. The party's secretariat meeting on Sunday had given the responsibility of finalizing the candidacies to party Chairman Madhav Kumar Nepal, vice-chair Rajendra Pandey and general-secretary Ghanashyam Bhusal. RSS",1,0
2024/1/8,"JSP picks Puja Chaudhary as candidate for National Assembly election KATHMANDU, Jan 8: The Janata Samajwadi Party (JSP) has picked Puja Chaudhary as the candidate for the National Assembly (NA) elections. Chaudhary will file her nomination with the backing of the ruling coalition. KATHMANDU, Jan 8: The Janata Samajwadi Party (JSP) has picked Puja Chaudhary as the candidate for the National Assembly (NA) elections. Chaudhary will file her nomination with the backing of the ruling coalition. A Central Work Execution Committee meeting of the JSP held today finalized the candidacy of Chaudhary from Rautahat district, the party's publicity department chief Purna Basnet said.. Earlier, a meeting of the coalition partners agreed on joint candidacies for the upper house elections. As per the agreement, the NC will have 10 candidates followed by six from the CPN (Maoist Centre), two from the CPN (Unified Socialist) and one from the JSP. With the elections scheduled for January 25, today marks the publication of the voter name list, and tomorrow is the day for registrations of candidates. The final list of candidates is set to be published on January 11.",1,0
2024/10/20,"Visiting Chinese delegation calls on PM Oli KATHMANDU, Oct 20: A visiting Chinese delegation led by Chen Jining, a central committee member of the Communist Party of China and the Secretary for the Shanghai Municipal Committee, paid a courtesy call on Prime Minister KP Sharma Oli today. KATHMANDU, Oct 20: A visiting Chinese delegation led by Chen Jining, a central committee member of the Communist Party of China and the Secretary for the Shanghai Municipal Committee, paid a courtesy call on Prime Minister KP Sharma Oli today. During the courtesy meeting held at the Prime Minister's official residence in Baluwatar, discussions focused on strengthening bilateral relations between Nepal and China. Oli and Jining also discussed prospects of increased collaboration between their respective political parties - the Communist Party of Nepal (UML) and the Communist Party of China. The Prime Minister highlighted the role of the CPC and General Secretary Xi Jinping's leadership in alleviating poverty and driving holistic development in China, expressing Nepal's interest in benefiting from such advancements. The Prime Minister said the delegation about the coalition government formed by Nepal's two largest parties, the CPN-UML and the Nepali Congress, aimed at ensuring political stability. He expressed hopes for continued Chinese support for Nepal's economic development and stressed the need to regularise the exchange of high-level visits to enhance government-to-government, people-to-people, trade, cultural, and historical ties. Reaffirming Nepal's commitment to the One-China policy, the Prime Minister stated that no anti-China activities would be tolerated within Nepal's territory. In response, Chen said that his visit was directed by General Secretary Xi and reaffirmed China's support for Nepal’s happiness and prosperity, respecting the decisions made by Nepal's political parties. Ge said that the delegation would brief Xi on the topics that came up during the visit. Among those present at the meeting were the Prime Minister's Chief Advisor Bishnu Prasad Rimal; UML Secretary and Foreign Department Chief Raghubir Mahaseth; Department member Dr Anjan Shakya; the prime minister’s former foreign policy advisor Gopal Khanal; Joint Secretary at the Ministry of Foreign Affairs, Krishna Prasad Dhakal; and China’s Ambassador to Nepal, Chen Song.",1,0
2024/12/1,"Nepali parliamentary team leaves for Kuala Lumpur The Nepali parliamentary delegation went on an official study and observation visit at the invitation of the Government of Malaysia. The visit will last till December 6. KATHMANDU, Dec 1: National Assembly Vice-Chair Bimala Ghimire has left for Kuala Lumpur, Malaysia, leading a 13-member delegation on a parliamentary study and observation visit to Malaysia. The Nepali parliamentary delegation went on an official study and observation visit at the invitation of the Government of Malaysia. The visit will last till December 6. The delegation comprises Speakers of the Madhesh, Bagmati and Koshi provinces Ram Chandra Mandal, Bhuwan Kumar Pathak and Ambar Bahadur Bista, respectively. Similarly, the Deputy Speaker of Lumbini Province, Menuka Khand KC; Deputy Speaker of Gandaki Province, Bina Kumari Thapa; Deputy Speaker of Sudurpaschim Province, Koilidevi Chaudhary; and Deputy Speaker of Karnali province, Yashoda Neupane are also in the delegation. The Nepali parliamentary delegation will meet with the Speaker and Deputy Speaker of Malaysia as well as the Speaker and Deputy Speaker of Selangor Provincial Parliament of Malaysia in course of the visit, the Parliament Secretariat has stated. The delegation will return home on December 6.",1,0
2024/2/1,"Parliamentary committee instructs govt authorities to accelerate preparation for COP-29 KATHMANDU, Feb 1: The Parliamentary Committee for Sustainable Development and Good Governance has instructed the government to expedite preparation for upcoming COP-29. KATHMANDU, Feb 1: The Parliamentary Committee for Sustainable Development and Good Governance has instructed the government to expedite preparation for upcoming COP-29. The Committee here on Wednesday held discussion on recently held climate conference- COP-28 and reviewed Nepal's participation in it besides deliberating on Nepal's upcoming action plan in regard to COP-29. Committee Chair Prakash Panth said that it was necessary to formulate action-plan to make participation in COP-29 more organized and effective, with timely review of the COP-28. Panth also directed the government to accelerate preparation to make cooperation with international organizations on climate action further effective. He was also instructed to devise action-plans in consultation with the multifaceted stakeholders. Secretary of the Committee, Dr Rojnath Pandey, pressed for materializing the plan of 'Sagarmatha Sambad' (Everest Dialogue) and climate conference raised in the COP-28 held from November 30 to 12 December, 2023 in the UAE. He said that priority be accorded on capitalizing on the achievements of the conference and collection of data. Similarly, Joint-Secretary at the Ministry of Forest and Environment, Dr Buddhi Sagar Poudel, said that COP-28 had prioritized the 'Save Mountain and Hill' campaign. He highlighted the need for more collaboration and cooperation to make upcoming COP-29 more effective. National Inclusion Commission's Chairperson Dr Ramkrishna Timalsina and Madheshi Commission's member Renu Shah called for incorporating climate change related issues in the school's curriculum. National Women Commission's Chairperson Kamala Kumari Parajuli underlined the need for a three-tier government to maintain consistency between gender-responsive budget and climate-targeted budget considering the fact that women and children were the most affected group by climate change. National Dalit Commission Chairperson Devraj Bishwakarma, Indigenous Nationalities Commission's Chairperson Ram Bahadur Thapa Magar and Tharu Commission's Chairperson Bishnu Prasad Chaudhary univocally emphasized launching programmes that were targeted to marginalized communities as, they said, that the marginalized communities were most affected by impact of climate change. Parliamentarian Bir Bahadur Balayar viewed that the budget allocated by the ministries must be targeted at achieving Sustainable Development Goals. He opined that the country should be capable of managing the adverse impact of climate change. Other parliamentarians such as Mina Tamang, Binita Kathayath and Bimala Ghimire among others saw the need for raising a nation-centric agenda in the upcoming climate conference. Participants of the meeting stressed on devising clear policies for climate action, further strengthening coordination and cooperation among stakeholders to make upcoming climate conferences more effective and presenting result-oriented agendas and forming effective coordination between the civil employees and politicians. (RSS)",1,0
2024/2/26,"LMC presents report in National Assembly KATHMANDU, Feb 26: In a meeting of the National Assembly today, the annual report of the Legislative Management Committee (LMC) was presented. KATHMANDU, Feb 26: In a meeting of the National Assembly today, the annual report of the Legislative Management Committee (LMC) was presented. Committee Chair Jayanti Devi Rai presented the report of the fiscal year 2079-80 BS (2022-23), informing the upper house of the Federal Parliament that the Committee held a total of 54 meetings in a year. Similarly, National Concern and Coordination Committee Chair Dil Kumari Rawal Thapa (Parbati) presented a study report on the situation of human-wildlife conflict in national parks, wildlife reserves and buffer zones-2080 BS in the meeting. National Assembly Chairman Ganesh Prasad Timilsina read out a letter sent by the Office of the Prime Minister and Council of Ministers regarding the allocation of portfolios of the members in the Council of Ministers. RSS",1,0
2024/2/29,"UML demands release of microfinance victims KATHMANDU, Feb 29: The CPN-UML has demanded the release of microfinance victims. KATHMANDU, Feb 29: The CPN-UML has demanded the release of microfinance victims. The police arrested the microfinance victims who staged a protest by entering the Federal Parliament building premises. National Assembly member Bimala Ghimire urged the government to release the microfinance victims and address their grievances. Speaking at the National Assembly meeting on Thursday, she drew the attention of the government to address the demands of microfinance and loan shark victims who are protesting in Kathmandu. She emphasized that since the government did not respond to their grievances, the microfinance victims felt compelled to protest on the Parliament premises. ""Those detained during the demonstration should be released immediately and unconditionally,"" she asserted. On February 26, microfinance victims staged a demonstration on the premises of the Federal Parliament Building in New Baneshwor.",1,0
