date,content,female,male
2024/1/10,"Irish LGBTQI+ groups steadfastly support surrogacy after Pope's call for ban Irish LGBTQI+ groups said they will continue to support surrogacy after Pope Francis called for a universal ban on the practice this week. Three major Irish LGBT groups have responded after Pope Francis called for a universal ban on surrogacy during an address in Rome on Monday, January 8. “The desire to create and have a family is a universal one which includes people from the LGBTQI+ community,” LGBT Ireland, Irish Gay Dads, and Equality for Children said in a joint statement shared with GCN on January 9. “In many examples of family planning, infertility, whether medical or social, can lead people to look to routes such as adoption, assisted donor conception, and surrogacy to build their family. “We support the right of people to do this. ""We also support legislation that will protect and ensure the highest of standards are upheld to benefit all involved: the surrogate mother, the child, and the intending parents. “LGBT Ireland, Equality for Children, and Irish Gay Dads have been working together for the last number of years to campaign for legislation that is fully inclusive of all LGBTQI+ people. ""Before Christmas, we held a briefing for TDs and Senators and met directly with the Minister for Health, Stephen Donnelly TD. The Assisted Human Reproduction Bill that is currently before the Oireachtas must ensure that the pathways to parenthood are open to everyone and that all children are treated equally.” Sign up to IrishCentral's newsletter to stay up-to-date with everything Irish! The joint statement from the Irish LGBTQI+ groups was issued after Pope Francis called for a universal ban on surrogacy during a foreign policy address in Rome to ambassadors accredited to the Holy See. “The path to peace calls for respect for life, for every human life, starting with the life of the unborn child in the mother’s womb, which cannot be suppressed or turned into an object of trafficking,"" the Pope said during his address. “In this regard, I deem deplorable the practice of so-called surrogate motherhood, which represents a grave violation of the dignity of the woman and the child, based on the exploitation of situations of the mother’s material needs. “A child is always a gift and never the basis of a commercial contract. “Consequently, I express my hope for an effort by the international community to prohibit this practice universally.” As Citizens Information notes, there is no specific legislation for surrogacy in Ireland - it is not legal or illegal. However, as the Irish groups noted in their statement, legislation is underway in the Oireachtas. Ireland's Department of Health said on December 12 that the Irish Government had approved Committee Stage Amendments to the Health (Assisted Human Reproduction) Bill 2022. The amendments, the Department noted, include ""new provisions in respect of the regulation of international surrogacy agreements and the recognition of certain past surrogacy arrangements.""",0,1
2024/1/11,"Ireland's new National Cycling Network to feature ""3,500km of safe bike corridors"" Ireland's National Cycling Network aims to provide 3,500km of safe cycling routes across the country. Ireland's Department of Transport has unveiled plans for a new National Cycling Network (NCN) which envisions 3,500km of safe bike corridors, connecting 2.8m people in cities and towns across the country. The new plan is comprised of 85 corridors, including existing and planned greenways in addition to an extensive new network of safe cycle routes planned for existing roads. The NCN aims to make it easier for people to make cycling a part of their daily lives, providing links to transport hubs, education centers, employment, and leisure and tourist destinations. The Government aims to ensure that 80% of homes and 90% of jobs are located within 5km of the network by the time it is finished. Implementation of the NCN will be on a phased basis. It is envisaged that approximately 1,000km of the plan (28% of the network) will be implemented by the end of 2030 as part of Phases 1 and 2, while Phase 3 will be implemented between 2031 and 2040. Proposed NCN Corridors in the National Cycle Network Plan Summary Report. Proposed NCN Corridors in the National Cycle Network Plan Summary Report. Sign up to IrishCentral's newsletter to stay up-to-date with everything Irish! Minister of Transport Eamon Ryan launched the NCN at the opening of the latest extension of the Grand Canal Greenway between Sallins and Alymers Bridge in County Kildare on Wednesday, January 10. When completed, the Grand Canal Greenway will run along the entirety of the 130km Grand Canal, providing an almost entirely segregated route between Dublin and the River Shannon. ""It is great to launch this plan today here along the Grand Canal Greenway because it shows that we are already well on the way to developing this new visionary national cycling network, with plans also underway to fast-track delivery of a further 1,000 km of cycle routes by 2030,"" Ryan said in a statement on Wednesday. ""This national cycling network will act as a core spine, connecting towns, cities, and destinations across the country with safe, segregated cycling infrastructure wherever feasible. ""I think this will really help to encourage cycling confidence and in turn the number of trips taken by both walking and cycling amongst locals, leisure users, and tourists alike."" Minister @EamonRyan launches the #NationalCycleNetwork and opens the Aylmer Bridge to Sallins section of the Grand Canal #Greenway For more visit:? ? https://t.co/T5mZ2KDkX0@KildareCoCo @merrionstreet @TIITraffic pic.twitter.com/W7iTXHanxK The Grand Canal Greenway forms part of the existing 400km of greenways in the country. The NCN calls for an additional 900km of new greenway routes, while the remaining 2,200km of the NCN will be provided along existing road infrastructure, providing cycling infrastructure that is mostly segregated from traffic. It is hoped that the NCN will allow cyclists to travel in their own space, separated from road vehicles.",0,1
2024/1/11,"WATCH: Irish lawyer delivers argument in The Hague for genocide case against Israel Irish lawyer Blinne Ní Ghrálaigh KC said that ""there could not be a clearer or more compelling case"" for provisional measures to protect people in Gaza. Blinne Ní Ghrálaigh KC, the Irish lawyer serving as Counsel and Advocate for the Republic of South Africa to the International Court of Justice (ICJ), delivered a statement in The Hague today, Thursday, January 11. The ICJ announced on December 29 that South Africa had filed an application instituting proceedings against Israel, alleging that Israel ""in relation to Palestinians in Gaza, is in violation of its obligations under the Genocide Convention.” The public hearings at the ICJ at the Peace Palace in The Hague, the seat of the Court, began today; South Africa’s team is delivering its oral arguments on Thursday while Israel’s team will deliver oral arguments tomorrow, Friday, January 12. “There is an urgent need for provisional measures to protect Palestinians in Gaza from the irreparable prejudice caused by Israel’s violations of the Genocide Convention,” Ní Ghrálaigh told the court on Thursday. ""There could not be a clearer or more compelling case."" She asserted: “It is becoming ever clearer that huge swathes of Gaza — entire towns, villages, refugee camps — are being wiped from the map."" Ní Ghrálaigh said how in Gaza, ""nearly two million people — over 85 percent of the population"" have been forced to flee their homes and shelters, oftentimes more than once, into ""ever-shrinking slivers of land, where they continue to be bombed and killed. ""This is a population that Israel had already made vulnerable through 16 years of military blockade and crippling 'de-development.'"" She said: ""Without a halt to Israel’s military activity in Gaza, there will be no end to the extreme situation facing Palestinian civilians."" Ní Ghrálaigh went on to argue: ""It would be a complete departure from the long and distinguished line of jurisprudence that this Court has firmly established — and recently reconfirmed — for the Court not to order provisional measures in this case. ""The imminent risk of death, harm, and destruction that Palestinians in Gaza face today, and that they risk every day during the pendency of these proceedings, on any view justifies — indeed compels — the indication of provisional measures. ""Some might say that the very reputation of international law — its ability and willingness to bind and to protect all peoples equally — hangs in the balance."" Ní Ghrálaigh said: ""The international community continues to fail the Palestinian people, despite the overt dehumanizing genocidal rhetoric by Israeli governmental and military officials, matched by the Israeli military’s actions on the ground; despite the horror of the genocide against the Palestinian population being livestreamed from Gaza to our mobile phones, computers, and televisions screens — the first genocide in history where its victims are broadcasting their own destruction in real-time in the desperate — so far vain — hope that the world might do something."" According to the AP, a decision on the request for so-called “provisional measures” will likely take weeks. The case is likely to last years. Sign up to IrishCentral's newsletter to stay up-to-date with everything Irish! South Africa's genocide case against Israel has been formally endorsed by more than a dozen other countries and international organizations; Ireland has not endorsed the case, though it has been consistent in calling for a ceasefire. On Sunday, Taoiseach Leo Varadkar said on RTÉ Radio that Ireland ""does not intend"" to join the proceedings. ""I really think this is an area where we need to be very careful,"" Varadkar said. “What’s happened in Gaza is appalling - over 20,000 people killed, mostly innocent civilians, mostly women and children, very possibly war crimes committed both by Israel and Hamas when it comes to the events of the last few months. ""Genocide is something very particular. It is defined as an attempt, a deliberate attempt to destroy an entire nation, an entire race, or to do so in large part. “And one group of people that has experienced that in the world are Jewish people, the Holocaust. Six million Jews killed here in Europe, and Hitler had a plan to kill many millions more – that is genocide."" Varadkar added: ""We need to be very careful about genocide in that context."" He said the international court will determine whether or not the situation in Gaza is genocide. Ireland's opposition parties disagree with Varadkar's stance. On Tuesday, representatives from Irish political parties Sinn Féin, Labour, Social Democrats, and People Before Profit called upon the Irish Government to join the proceedings. On Thursday, the day the public hearings began in The Hague, TD Matt Carthy, Sinn Féin's spokesperson on Foreign Affairs, said: “I welcome that South Africa made the decision to take this case to the International Court of Justice under the Genocide Convention. ""As a signatory to the Convention, the Irish government is also legally obliged to take action to prevent genocide and, in Sinn Féin’s view, they should reverse position."" He added: “It smacks of the double standards that have been evident since the war in Gaza began that governments, including Ireland, that supported the case taken against Russia now refuse to do so in the case of Israel."" He further added: “The Irish people have been horrified by the actions of Israel in Gaza and the failure of the international community to demand they stop. ""They have welcomed the strong words of the Irish government. ""They now want to see these words being matched by actions.""",0,1
2024/1/15,"Dublin preps for arrival of Chinese Premier (and world’s largest commercial aircraft) Chinese Premier Li Qiang is set to arrive in Dublin, Ireland on Tuesday, January 16 aboard the world’s largest commercial aircraft. Dublin Airport said on Monday that on Tuesday, “a little bit of history will be made” when a 747-8 aircraft will arrive for the first time ever in Dublin, making it the largest-ever commercial aircraft to arrive at Dublin Airport. The Air China aircraft, carrying Chinese Premier Li Qiang, is scheduled to arrive into Dublin Airport shortly after 7 pm on Tuesday. It is expected to arrive on Dublin Airport's southern runway, depending on weather and operating conditions. Premier Li, who is traveling from the World Economic Forum in Davos, will arrive at Dublin Airport on Tuesday at the start of a two-day visit to Ireland, during which he will meet with President Michael D. Higgins and Taoiseach Leo Varadkar, before departing from Dublin Airport on the same aircraft on Wednesday afternoon. Dublin Airport noted that the Boeing 747-8 aircraft has a wingspan of 68 meters and is 76 meters long, which is bigger than the current largest commercial aircraft to land at Dublin Airport - the B747-400 which has a wingspan measuring 64 meters and is 71 long. The largest aircraft of any kind to land at Dublin Airport is the military Lockheed C-5 Galaxy, with a wingspan of 67 metres and a length of 75 metres, which last visited Dublin in 2019. “This will be the biggest commercial aircraft to ever land at Dublin Airport and will join the long list of landmark moments in the long history of the airport, which this week celebrates its 84th birthday,"" Graeme McQueen, Media Relations Manager at daa, the operator of Dublin Airport, said on Monday. “The runways at Dublin Airport have just about seen it all over the past eight decades, from numerous US Presidents, through to The Beatles and several Popes, but this is a first and the arrival of a 747-8 aircraft will mark yet another significant milestone for the airport. “The team at Dublin Airport is looking forward to welcoming Premier Li, his delegation and all of the passengers on board the 747-8 on Tuesday evening.” A little bit of history will be made at Dublin Airport tomorrow night when we will welcome a 747-8 - the largest ever commercial aircraft to arrive at Dublin Airport. The plane, carrying Chinese Premier Li Qiang, will arrive shortly after 7pm. ✈️ ⏩ https://t.co/34yPDI40rq pic.twitter.com/6SHNKJdYKa Sign up to IrishCentral's newsletter to stay up-to-date with everything Irish! Premier Li is set to have a bilateral meeting and working lunch at Farmleigh House in Dublin with Taoiseach Leo Varadkar on Wednesday. “I look forward to extending a warm welcome to Premier Li on his first visit to Ireland,” Varadkar said ahead of the Chinese Premier’s arrival. ""It comes in a year in which we will mark 45 years of diplomatic relations between our two countries. China is one of the world's great powers politically and economically and I am glad that Premier Li has decided to include Ireland in his itinerary. ""China is an important economic partner, a permanent member of the UN Security Council, and has a huge role to play in overcoming the shared challenges the world faces, including working for peace and security in the world and ensuring we stop climate change. ""Under our Asia-Pacific Strategy, the Government is also committed to growing our bilateral political, economic and people to people relationships throughout the region, including with China. ""I look forward to what I hope will be an in-depth and constructive discussion on issues where we are of like-mind, as well as those on which we have a different perspective.” Meanwhile, An Garda Síochána confirmed last week that traffic measures, although ""minimal,"" will be in place for the visit, which will be ""concentrated in the Dublin area including the Phoenix Park and Dublin South City Centre."" An Garda Síochána said that Phoenix Park will be closed to all access, traffic, and pedestrians from 7 pm on Tuesday until 7 pm on Wednesday. Arrangements will be in place for access for residents, staff, and stakeholders only at Chapelizod Gate (exit from Chapelizod Gate) and Cabra Gate (exit via North Circular Road Gate). An Garda Síochána said real-time updates will be provided, where appropriate and required, on An Garda Síochána Social Media platforms.",0,1
2024/1/15,"Two die in separate collisions on Irish roads over the weekend A total of 10 people have been killed on Irish roads since the beginning of the year, with road safety groups describing the figures as extremely worrying. Two people have died in separate collisions in Dublin and Kildare over the weekend, taking the total number of deaths on Irish roads to 10 since the beginning of the year. A male pedestrian died in Dublin after being hit by a car at around 4 a.m. on Sunday. The man was pronounced dead at the scene and no other injuries were reported. The incident took place on a stretch of road between Junction 4 and 5 of the M1 motorway near Lusk in North County Dublin. The road has reopened after being sealed off for a forensic investigation. Sign up to IrishCentral's newsletter to stay up-to-date with everything Irish! Gardaí have urged anyone with information of dash-cam footage to come forward. In Kildare, a man was killed in a single-vehicle collision in Kilcullen at around 6:15 p.m. on Saturday. The collision took place on the R448 road at Halverstown and the man, who was driving an SUV, was pronounced dead at the scene. The man's body has been taken to Naas General Hospital for a post-mortem. Anyone with any information or dash cam footage is asked to contact Naas Garda Station on 045 884 300, the Garda Confidential Line on 1800 666 111, or any garda station. Minister for Environment, Climate, and Communications Eamon Ryan told RTÉ's This Week that a number of measures will be implemented throughout the year to improve road safety in Ireland. Ryan said the Government will be reducing default speed limits in order to reduce road fatalities. Ryan added that An Garda Síochána needed to increase enforcement on Irish roads but said the Government would be installing more speed cameras, especially in particularly dangerous areas. ""That'll help the gardaí to do their job without always having to have a member of the force there in every place,"" Ryan told RTÉ. Jack Chambers, the Minister of State with Responsibility for Road Safety, stated that a ""culture of recklessness"" has developed on Irish roads. Chambers described the deaths of 10 people on Irish roads since January 1 as the worst possible start to 2024, adding that a significant number of motorists are ignoring the need to slow down. Chambers also said a number of motorists continue to drive while intoxicated. He told RTÉ's Morning Ireland that he will be fast-tracking legislation over the next three months to help reduce road fatalities. The new legislation will allow local authorities to review current speed limits, Chambers told Morning Ireland. He added that motorists who commit multiple offenses at the same time will now face two sets of penalty points as opposed to the current system, which imposes one set of penalty points. The legislation will also introduce mandatory drug testing at the scene of all road traffic accidents. Chambers noted that the number of Garda roads policing personnel has decreased by 47 compared to the same time last year but said the issue is a matter for the Garda Commissioner. ""I've been very clear to him and to his team on the need to ensure that there's a road policing dividend from the increased recruitment that we’re seeing in 2024,"" Chambers said. Several road safety groups have expressed concern about the number of road fatalities in Ireland since the beginning of the year. Susan Gray of the PARC Road Safety Group said the figures were ""extremely worrying"" and called on the Government to ""go back to the drawing board"" to reduce road fatalities. Leo Lieghio, the vice president of the Irish Road Victims Association, also described the figures as ""very worrying"". ""Absolutely, definitely going in the wrong direction. It's a very worrying figure,"" he told RTÉ News. The Road Safety Authority recently announced that 184 people were killed on Irish roads in 2023, a jump of 19% compared to 2022.",0,1
2024/1/16,"President of Ireland presents the 2023 Distinguished Service Awards in Dublin The 2023 recipients of the Presidential Distinguished Service Awards for the Irish Abroad were celebrated in Dublin. President of Ireland Michael D. Higgins presented the 2023 Presidential Distinguished Service Awards at a ceremony in Áras an Uachtaráin in Dublin on Tuesday evening, January 16. The Awards are presented by the President every year in recognition of the service given to this country, or to Irish communities abroad, by those who live outside Ireland. The Awards were created in 2011 as a means to recognize the contribution of members of the Irish diaspora, and the first awards were presented by President Higgins in 2012. Throughout his term in office, President Higgins has emphasized the global nature of Ireland’s cultural heritage, the significance of the diaspora, and the common history and identity we share “despite the borders, oceans and miles that may separate us."" The Presidential Distinguished Service Awards ceremony takes place this evening. Thirteen members of Ireland’s diaspora will be recognised for their contribution to Ireland and its people abroad. Find out more about those being awarded ? https://t.co/yqo5TaLgQi#PDSA23 pic.twitter.com/VSKTZ0Rnfc Sign up to IrishCentral's newsletter to stay up-to-date with everything Irish! Ireland's Department of Foreign Affairs noted that this year, the recipients were acknowledged for their outstanding contributions to Ireland and to the Irish abroad in a variety of fields, including human rights protection and advocacy, development, Irish community care, disarmament, education, Irish Studies, the arts, and business. Only people who live outside the island of Ireland can be nominated for the Distinguished Service Award. While the scheme is open to all people living abroad, it is primarily aimed at Irish citizens, those entitled to Irish citizenship, and persons of Irish descent, who have made a sustained and distinguished service to Ireland or Irish communities abroad, or on a global or international issue of importance. Nominations for the Award are made through the network of Irish Embassies abroad and are considered by a High Level Panel. The Panel recommends up to a total of 10 people every year from these nominations. January 16, 2024: President Higgins presents the 2023 Distinguished Service Awards. Speaking after Tuesday's ceremony, Tánaiste Micheál Martin TD, said: “I was delighted to meet the 13 recipients of the 2023 Presidential Distinguished Service Awards. Each has in their own way has made a notable contribution in their particular areas of endeavour. “In doing so, they are representative of the many millions of Irish people who have over the years had such a positive impact in so many different parts of the world, and continue to do so. “It serves as a reminder to all of us of the capacity of diaspora and immigrant communities to make a hugely positive contribution to their adopted communities.” Minister of State for International Development and Diaspora, Sean Fleming, TD, said: “The Presidential Distinguished Service Awards is an annual opportunity for us to acknowledge and celebrate the achievements of Ireland’s diaspora. “Irish communities all over the world enhance Ireland’s global reputation by their actions and by their commitment to tolerance, inclusion and to justice and equality for all. These are values which we continue to hold very dear here in Ireland.” On X, Claire D. Cronin, the US Ambassador to Ireland, thanked the winners for their contributions: Congratulations to the winners of @PresidentIRLDistinguished Service Awards for Irish Abroad, including @PaulineTurley @AJConnolly from @IrishArtsCenter & @KeeleySavGA from @GeorgiaSouthernThank you for yourcontributions to ???? cultural & economic bonds. pic.twitter.com/bynEuGTNGv",0,1
2024/1/16,"Cork's Páirc Uí Chaoimh set to be renamed in controversial new deal Páirc Uí Chaoimh, the home of Cork GAA, is set to be renamed Supervalu Park or Supervalu Páirc. A multi-layered naming rights deal for Páirc Uí Chaoimh will be tabled for Cork County Board delegates to ratify in a closed-door meeting tonight, January 16, according to a report from the Irish Examiner. The Irish Examiner reports the deal is worth between €250,000 and €300,000 a year to Cork GAA. Three other companies — Boston Scientific, Statkraft, and PepsiCo — will also have subsidiary stadium branding privileges as part of the package. The Páirc Uí Chaoimh stadium company filed an operating loss of around €331,000 last year, the Irish Examiner noted. Sign up to IrishCentral's newsletter to stay up-to-date with everything Irish! Cork GAA describes Páirc Uí Chaoimh as the “celebrated Gaelic games stadium” in Ballintemple, Co Cork. The first stadium was opened in 1904 as the Cork Athletic Grounds and was later reopened as Páirc Uí Chaoimh in 1976. The Stadium underwent an extensive two-year renovation commencing in 2015 before reopening its doors in 2017. The stadium is named in honor of Padraig O Caoimh, who served as General Secretary of the GAA from 1929 through 1964. News of the rebrand, which emerged on Monday, came as a shock to many, including Dónal Ó Caoimh, the grandson of Padraig O’Caoimh. Dónal said on X on Monday that he learned about the renaming through the media and that nobody from GAA had reached out. ""I'm in shock and saddened tonight,"" he added. Thanks @RealPMurphy , as Padraig O'Caoimh's grandson I’m just learning about this decision tonight through the media. Nobody from the GAA reached out to me to tell me this was being discussed. I’m in shock and saddened tonight. https://t.co/Buo1bok8nT The Lord Mayor of Cork Cllr Kieran McCarthy also hit out at the reports on Monday night, saying that O’Caoimh's story ""still matters."" #GotCork Place, history & memory matter in Cork, sad to hear the memory of Pádraig Ó Caoimh v much eliminated; Corkonian, IRA volunteer & 35 years developing the GAA in the early Irish Free State; a huge legacy left; his story still matters; rethink on re-naming NB #proudofCork https://t.co/a7w5l5KmiD In a further statement on Tuesday, Dónal said that his grandfather ""embodied the empathy, hospitality, and community spirit that is the essence of the GAA."" Dónal said he found it ""galling"" that SuperValu ""would consider making the eradication of my grandfather’s legacy a condition of sponsorship."" He continued: ""The gateway is open for the sale of our heritage and narrative for profit. ""My grandfather’s story inspires young players to dream. You take away the absence of focus on money and corporations from games and you have lost what makes the GAA unique. The cornerstone of the organisation is volunteerism not corporations."" Dónal said that the Cork County Board's meeting on Tuesday night being held behind closed doors is ""profoundly undemocratic."" He added: ""I have faith that Páirc Uí Chaoimh will forever retain its original name in the hearts and minds of the people of Cork. ""I understand the importance for raising funds for the sustainability of the GAA but there needs to be sensitivity to history. The stadium is part of who the people of Cork and indeed of Ireland are. It is in our DNA. It is woven into not just our sporting history but our cultural and social fabric also. ""The proposal has been broadly met with dismay and anger by the general public with the Lord Mayor of Cork calling for the proposal to be rejected."" Dónal added: ""To the best of my knowledge, no one in my family was contacted by the GAA or Cork County Board to explain that this proposal was being considered."" Later on Tuesday, Tanaiste and Cork native Micheál Martin also criticized the proposals, saying he was ""deeply disappointed and annoyed"" by them. He noted that the Irish Government ""allocated €30m towards the development of the stadium and never sought naming rights."" Deeply disappointed & annoyed at the proposal to change the name of Páirc Uí Chaoimh. Pádraig Uí Chaoimh was a key figure in the formation of the GAA at club and national level. Govt allocated €30m towards the development of the stadium and never sought naming rights.",0,1
2024/1/17,"Chinese Premier arrives in Ireland on board largest-ever commercial aircraft to land at Dublin Airport Chinese Premier Li Qiang arrived in Ireland on board a Boeing 747-8, the largest commercial aircraft to ever land at Dublin Airport, according to the airport's social media accounts. Chinese Premier Li Qiang arrived at Dublin Airport on Tuesday night ahead of a short visit to Ireland that includes meetings with Taoiseach Leo Varadkar and President Michael D. Higgins on Wednesday. Chinese Premier Li Qiang arrived in Ireland on board a Boeing 747-8, the largest commercial aircraft to ever land at Dublin Airport, according to the airport's social media accounts. ""A very special moment as Air China flight CCA001 arrives at Dublin Airport - the largest passenger aircraft to land here in our 84-year history,"" Dublin Airport said in a statement on X, formerly known as Twitter. The Chinese Premier was greeted at Dublin Airport by Minister for the Environment and Green Party leader Eamon Ryan. ""I was honored to greet the Chinese Premier Li Qiang on his arrival to Ireland in Dublin airport this evening,"" Ryan said in a statement on X. Sign up to IrishCentral's newsletter to stay up-to-date with everything Irish! He is set to meet Taoiseach Leo Varadkar at Farmleigh House on Wednesday afternoon. The pair are expected to discuss global issues, bilateral issues, and EU-China relations during Wednesday's meeting. Li is the second-highest-ranking official in China's political system and previously served as Communist Party leader of Shanghai, the biggest city in the country. He is a close ally of President Xi Jinping. Meanwhile, President Michael D. Higgins will host Li at Áras an Uachtaráin on Wednesday morning. An Garda Síochána has announced that the Phoenix Park will remain closed to traffic until 7 p.m. on Wednesday as a result of Li's visit, while there will also be rolling road closures at Dublin Airport. It’s here! A very special moment as Air China flight CCA001 arrives at Dublin Airport - the largest passenger aircraft to land here in our 84 year history. We’re delighted to facilitate the arrival of Premier Li Qiang to Ireland. ✈️ pic.twitter.com/d500hBAR3n Li, who addressed the World Economic Forum in Davos on Tuesday, is set to depart Ireland on Wednesday afternoon, following his meeting with Varadkar. His visit marks the first time that a Chinese Premier has visited Ireland since Li's predecessor Li Keqiang visited in 2015. President Xi Jinping, who is serving his third term as president, also visited Ireland in 2012, a year before becoming president.",0,1
2024/1/2,"Ireland expands free contraception scheme to include women aged 31 Ireland's free contraception scheme, first launched in September 2022, has been expanded to include women aged 31. Ireland’s Minister for Health Stephen Donnelly announced on January 1 the expansion of the free contraception scheme to include women aged 31, as previously announced in Budget 2024. Ireland's free contraception scheme is open to women, girls, and other people identifying as transgender or non-binary who are ordinarily resident in Ireland and for whom prescription contraception is deemed suitable by their doctors. The scheme was launched in September 2022, initially for those aged 17 to 25, and expanded to include 26-30-year-olds in 2023. Access to free contraception has now been expanded as of January 1, 2024 to include women aged 31. Sign up to IrishCentral's newsletter to stay up-to-date with everything Irish! ""I am delighted to announce the further expansion of the free contraception scheme to those aged 31,"" Minister Donnelly said on Monday. ""Incrementally improving access to contraception is a key priority for this government, supporting positive sexual health and choice in family planning. ""The scheme is an important support for women’s health, and for equality, given that the costs of contraception are typically faced by women. ""Moreover, in the context of current cost-of-living pressures, this is another support for women and their families that reduces costs."" Ireland's Department of Health noted that the scheme covers the cost of consultations with GPs, family planning, student health and primary care centres, and prescriptions for the wide range of contraceptive options available on the Health Service Executive (HSE) Re-Imbursement List. These options include long-acting reversible contraception (LARCs). LARCs include injections, implants, and hormonal and copper intra-uterine devices and systems (coils). The scheme also includes emergency contraception in addition to the oral contraceptive pill, patch, and ring. LARC fittings, removals, injections, and checks are also free of charge under the scheme. Prescriptions are dispensed at a local pharmacy of choice. If LARCs are chosen (coils and implants, for example), patients return to a service provider participating in the scheme to have the device fitted, and subsequently removed. All of these costs are fully covered by the State and are free of charge to the patient. The Department added that in addition to its primary use, hormonal contraception also plays a key role in treating adverse symptoms, such as pain and heavy bleeding, that can be associated with periods. Almost 2,400 GPs, primary care, family planning and student health centres, and other related community medical facilities, and 2,050 community pharmacies have signed up to provide services and products under the scheme to date. Approximately €41.5 million is allocated to support the scheme in 2024. Further information regarding both free prescription contraception and the National Condom Distribution Service is available through the HSE’s Sexual Wellbeing website. This information is regularly updated and provides full details of how to access the scheme. Ireland's free contraception scheme is a sign of fast-changing times in the country, where the sale of contraception was illegal from 1935 until 1979 when regulations dictated it could only be used for family-planning purposes at the discretion of a doctor. It was not fully legalized until 1993.",0,1
2024/1/2,"Over 1 million Irish passport applications in 2023, including 28k to US United States topped Ireland's rankings for foreign-born applicants as Ireland's passport service wins customer experience awards. With over a million applications for passports in 2023, Ireland's passport service has been ranked 18th out of 150 public-facing organizations in a survey conducted by the Customer Experience group. The Tánaiste (Deputy Leader), Minister for Foreign Affairs, and Minister for Defence, Micheál Martin, has announced that over a million applications have been received by the passport service in 2023. Ireland's Passport Online has been rolled out to an additional 175 countries for first-time applicants in 2023, meaning that 99.9% of all first-time and renewal applicants around the world can apply online. The passport office also shared interesting facts about 2023's applicants, including the Foreign Birth Registration, which is available to people who are born abroad and claim Irish citizenship through descent. The Passport Service has approved over 36,000 FBR applications this year. The top countries for FBR applications are: Interestingly, the oldest general applicant was 103 years old while the youngest was just four weeks old. Sign up to IrishCentral's newsletter to stay up-to-date with everything Irish! Ireland's passport service was recently ranked 18th out of 150 public-facing organizations in a survey conducted by the Customer Experience (CX) group. This ranking recognized the passport service as the best customer service brand in the public sector. In addition, the customer service hub in the passport service was shortlisted for the “Best Customer Service Team” award at the 2023 Customer Experience Awards. Speaking about this year’s passport service performance, the Tánaiste said: “In 2023, the Passport Service has delivered an enormous volume of passports. Between 2,000 and 3,000 passports are currently being issued every day and over 950,000 passports will have been issued by the end of the year. “The performance of the Customer Service Hub in particular has been exceptional. The Hub is consistently answering all calls and has handled over 600,000 queries from citizens this year. This hard work and commitment to public service has resulted in the passport service being recognized as the best customer service brand in the public sector “Following the challenges faced in 2021 and 2022, these achievements are truly something to take pride in. I want to pay tribute to the passports team across the country who continue to work hard to deliver an excellent service for our citizens.”",0,1
