date,content,female,male
2024/1/1,"Leo Varadkar says he is not changing his life despite risks to politicians’ safety Garda protection was extended to Cabinet members after assessment found heightened risk to politicians Taoiseach Leo Varadkar has said he will not change the way he lives his life in response to risks to politicians’ safety that have arisen in recent years. There were serious disturbances outside Leinster House on September 20th, the first day back after the Dáil’s summer recess, as politicians from across the political spectrum were targeted by protesters. Last year saw a series of anti-immigration demonstrations, in part whipped up by far-right activists. Politicians, including Mr Varadkar, have seen protests at their own homes or offices in recent years. During an interview with political journalists, the Fine Gael leader was asked if he has changed how he lives or what he shares on social media as a result of the kinds of angry confrontations that have been happening involving politicians. “To be honest, I’ve kind of refused to change my life…” Mr Varadkar said. “I have been advised by the Garda Commissioner that the threat is higher, and the risk to my personal safety is real and that is the case for other Ministers too.” Mr Varadkar said Garda Commissioner Drew Harris took the decision to extend Garda protection to all members of Cabinet, including the three “super-junior” Ministers, “based on security assessments that the risk to politicians... is heightened”. But, Mr Varadkar added: “I haven’t changed the way I live my life, nor will I. “First of all, I’m not going to give into it and, secondly… I see how other countries operate where politicians, ministers, prime ministers live in a security bubble and.... really forget what it’s like just to do normal things and live a normal life.” Mr Varadkar said he will keep going to cinemas, restaurants and bars as well as the gym. In a separate interview, Tánaiste Micheál Martin poured cold water on the prospect of Ireland following the UK in considering limits on children’s access to social media to protect them from online harm. There were reports last month that British prime minister Rishi Sunak was considering doing this, with a ban for under-16s believed to be one of the options being explored. Mr Martin said there is “merit” in restricting the use of mobile phones in schools and also in teaching children about the “challenges and opportunities” of social media. But, the Fianna Fáil leader said he does not see “any feasible solution” that would involve a ban “once you have the proper checks and balances and age status and so on”. Elsewhere, Green Party leader Eamon Ryan talked up his party’s election prospects in response to a suggestion from a reporter that small parties in coalitions suffer at election time. He said the Green Party has 106 candidates selected for June’s local elections, half of whom are women, and that “they’re really fired up, so we’ve never been in a better position to go into an election”.",0,1
2024/1/10,"Opposition to single men seeking asylum is increasingly a fact of political life in Ireland Far right actors may accelerate mistruths, but ascribing every protest to agitators is a fallacy There is, in the words of one person closely involved in sourcing accommodation for refugees and asylum seekers, “a major issue in relation to single men”. It is even more pronounced in the case of non-white single men, they say. This was captured in Ballinrobe, Co Mayo, on Monday when protests melted away after the Government committed to accommodating families in the former JJ Gannon guesthouse, rather than 50 single men. Those working on the ground say that many of those protesting are ordinary members of the community – that while far right actors may play a role, accelerating mistruths or propagating racist tropes online, ascribing every protest to agitators is a fallacy. TDs, who are closely attuned to what their constituents are thinking, say the same. Whatever factors are driving it, that is the blunt reality. Opposition to accommodation for single men seeking asylum is, increasingly, a fact of political life in Ireland. The chief criticism of the Government is that it is not communicating adequately. Eamon Ryan spoke on Tuesday about a campaign which will explain the “basic mechanics” of migration, and doubtlessly better communication is needed. But the evidence suggests that even if it was communicated weeks or months in advance that large groups of single men were being moved in somewhere, the outcome would not be any different: protests, maybe even blockades, perhaps even arson. The question for the Government, and those working to accommodate international protection (IP) applicants and those fleeing Ukraine, is what to do about it. And the answer may be that it is increasingly impossible to have a strategy which concentrates large groups of single men together in accommodation centres. This week in 2023, single men accounted for 47 per cent of arrivals seeking international protection. Arrivals declined during the following months, when accommodation could not be offered – before picking up again across the summer – in July, the figure was 55 per cent, in August 52 per cent, in September and October 50 per cent, and 43 per cent in November. In December that number dropped sharply – in the last week it was just 29 per cent. The verdict in Government is that this is down to word of mouth as news of the accommodation shortfall spread again. While the level of single men may ebb and flow, migration trends are such that one source involved in managing accommodation for the State predicts this will be an issue for at least a decade. Part of the answer, this source argues, is to allow for compromise with communities and to move away from centres that house only single men. This may involve toughening up with accommodation providers, demanding that they offer housing suitable for families, even if it is less profitable, in exchange for Government contracts. It will also involve planning more strategically, as opposed to fire fighting and taking every offer of accommodation that comes in. Sources say there are indications that this is beginning to happen, with a pipeline of larger scale centres in the medium term. Integration is difficult. At pace, it’s more difficult still. With migration politics forcing its way to the forefront in an election year, pulling up the handbrake in the face of opposition risks creating a blueprint that will be replicated elsewhere. Meanwhile, it seems that every opening of an asylum accommodation centre is now a flashpoint in waiting. The pressure is on the State to get better and be quicker in finding solutions that work.",0,1
2024/1/10,"Judgment of International Court of Justice against Israel will be ‘severe’ unless it immediately stops onslaught of Gaza, says Ryan   Minister for Climate Action says key sections of evidence being presented in case taken by South Africa against Israel are ‘irrefutable’  The judgment of the International Court of Justice (ICJ) against Israeli over alleged genocide in Gaza will be “very severe” unless it immediately stops its onslaught on the Palestinian enclave, Minister for Climate Action and Green Party leader Eamon Ryan has said. He said key parts of the evidence being presented by South Africa, which is taking the case against Israel, were “irrefutable” and could not be defended. He said the evidence came from two highly respected United Nations agencies. He said the World Food Program (WFP) had found that the entire 2.2 million population of Gaza was under crisis and facing acute levels of food insecurity. He said the WFP had found that more than a quarter of the population had already exhausted their food supplies and had exhausted their coping capacities. “They face catastrophic hunger and starvation. That’s an immediate risk. That’s the World Food Program saying that’s the risk today.” Mr Ryan said the UN Commission on Human Rights had said on November 16th that the international community had an obligation to prevent atrocity crimes, including genocide. “It said we should immediately consider all diplomatic and political and economic measures to that end. That’s coming from UN organisations. That’s not something that you can put off. That’s not something you can be diplomatic and polite about. That’s an immediate urgent atrocity in the making unless they stop now.” Mr Ryan was speaking the opening day of the ICJ hearings in The Hague on a case being taken by South Africa alleging genocide by Israel. The Israeli government is defending its actions. Mr Ryan argued that Ireland as a country had consistently stood up for the rights of the Palestinian people going back decades. “But also in an immediate sense to stand (against) the actions the Israeli government and military are taking, which are putting Palestinian people in Gaza at risk of immediate starvation.” He said if the Israeli government did not change tack the rest of the world would deliver a “really harsh judgment” on what had been done to the Palestinian people. He said this did not undermine in any way the right of Israel to its safety. He also deplored the atrocity that occurred on October 7th.* “The scale of what Israel is doing, and the risk to the Palestinian people, absolutely has to stop, and if not the judgment in my mind against the Israeli government will be severe,” said Mr Ryan. *This article was edited on Friday, January 26th, 2024 to remove a clause that inaccurately summarised the events of October 7th.",0,1
2024/1/10,"Ombudsman for Children calls for reversal of recession-era downgrade of his role Office of watchdog for children’s interests was bumped down Civil Service salary scale from a maximum of €178,000 to up to €130,000 The Ombudsman for Children has written to the Minister for Children Roderic O’Gorman asking for his “intervention” in reversing a post-recession cutback in his role from assistant secretary general level to principal officer higher. Dr Niall Muldoon wrote to Mr O’Gorman two months ago stating that he saw the reversal of the downgrade as being “in the best interest of children”. In the letter dated November 14th, Dr Muldoon said the role of Ombudsman for Children was downgraded from assistant secretary general to principal officer level in 2015 as part of Fempi, the Financial Emergency Measures in the Public Interest Act 2009. “I am writing to you now to seek the reversal of that downgrade, in line with the reversal of all other Fempi cutbacks across the civil and public service,” Dr Muldoon said. “I see this as being in the best interest of children.” According to Fórsa’s Civil Service salary scale, an assistant secretary’s salary ranges from €156,472 to €178,995 while a higher principal officer’s salary is €106,187-€130,951. Dr Muldoon said in the letter, which was released to The Irish Times under the Freedom of Information (FOI) Act, that he had been engaged in long-term discussions with the Department of Children regarding the repositioning of the role of Ombudsman for Children. “I understood the measures taken during a time of economic crisis in 2015, via Fempi, were set out on a legal basis and were always intended to be temporary,” Dr Muldoon said. “Indeed, at this point, I believe that all of the Fempi cutbacks have now been reversed across the Civil Service. However, I have been seeking the reversal of the decision to downgrade this role since 2021 and it has still not happened.” Dr Muldoon also said he had engaged with two secretary generals in the department who had both been “extremely supportive” of the argument to return the post to the level of assistant secretary. However, he said the Department of Public Expenditure had advised that the Senior Posts Remuneration Committee would be established and direct on remuneration arrangements for senior posts in the public service and chief executives of commercial State bodies. Dr Muldoon said it was his contention that “this is not about the ‘remuneration of senior posts” but instead about the “closing off of a process set in motion through Fempi”. Dr Muldoon added that he was asking the Minister to “step in and make that case” to the Department of Public Expenditure and Reform. He said since 2015 the office of the Ombudsman for Children had increased its activity levels and work for children “enormously” and there had been a rise in “innovative and important investigations and reports” published. Concluding his correspondence, Dr Muldoon noted he was in his second and final term as Ombudsman for Children and was committed to “doing everything in my power to ensure that the office is in the strongest position possible to work for the rights of all the children in Ireland”. A spokeswoman for the Ombudsman for Children said Mr O’Gorman had responded and acknowledged that Fempi legislation was intended to be temporary. The Department for Children said Mr O’Gorman had written to the Minister for Public Expenditure Paschal Donohoe regarding the issue. It added that the Ombudsman for Children’s office was also in receipt of a director’s allowance.",0,1
2024/1/11,"Taoiseach hopes ICJ makes interim ceasefire order while deliberating on Israel genocide case Sinn Féin TD says Ireland should have made itself a party to South African proceedings over Gaza Taoiseach Leo Varadkar has said he hopes the International Court of Justice might make an interim order calling for a ceasefire in Gaza, while it deliberates over South Africa’s proceedings alleging genocide against Israel. The case filed last month by South Africa, which has opened in The Hague, alleges that “acts and omissions by Israel are genocidal in character” with the specific intention to “destroy Palestinians in Gaza as part of the broader Palestinian national, racial and ethnic group”. Asked about the matter during a visit to Pristina, Kosovo, Mr Varadkar said the Government was “deeply concerned that Israel may have committed war crimes in its actions in Gaza and we have made that very clear”. “When it comes to the issue of genocide that is a very particular matter and the International Court of Justice will now have to rule on that and it may take many years before they rule on that,” he said. “The South African case might allow the International Court of Justice to make an order calling for the fighting to stop while the case is considered over the next number of years, and I think that’s where Ireland could play a role, if the ICJ issues such an order,” he said. Mr Varadkar added that the ICJ had issued a similar order following the Russian invasion of Ukraine, which had been ignored by Russia. “I would be afraid that Israel would do the same,” he said. “The Irish Government is calling for a ceasefire in Gaza, that’s the most important thing, that the violence should stop and we can move towards a political solution and that will be a two state solution.” Mr Varadkar was speaking after meeting 13 Defence Forces troops stationed with the Nato-led peacekeeping mission in the west Balkan country. Earlier, Sinn Féin TD Matt Carthy said the Government should have made itself party to the South African proceedings against Israel. The party’s foreign affairs spokesman said: “Over 10,000 children have now been killed as a result of the Israeli indiscriminate bombardment. This is an important time for international leadership. Unfortunately, that international leadership has been sorely lacking in many quarters.” Mr Carthy said the Government has been “one of the more progressive voices” on the bombardment of Gaza and Sinn Féin has “acknowledged that and we’ve welcomed that”. However, he said Ireland “must go beyond words” at this stage. “What the Palestinian people require, what international law requires, and what humanity requires is meaningful action. The South African government has taken a meaningful action by bringing this case to The Hague this morning. And it is imperative in our view that the Irish government join them in that endeavour. He noted the Government’s decision to support Russia being prosecuted by the same court over its invasion of Ukraine but not in this instance. “There has to be a question asked as to why there is a dichotomy of positions in respect of the Irish Government with regard to taking meaningful actions when it comes to Israel.” Mr Carthy said it would be “untenable” for the Government to support the reappointment of Ursula von der Leyen as president of the European Commission in light of her ongoing support for Israel since its invasion of Gaza. While supporting the European Union, he said Sinn Féin was not afraid to say when it had taken the wrong course of action in terms of austerity policies or foreign affairs policy. In what amounted to a call to the Irish Government not to support a further term in office for Ms von der Leyen, Mr Carthy said: “In my view, it would be absolutely untenable for any government that values international law and human rights to approve the reappointment of Ursula von der Leyen as European Commission president,” he said. He agreed there was no EU unity on the case. “The European Union collectively has yet to come to a position where it can call for a ceasefire. Therefore, it is imperative that member states within the EU, including Ireland, join with others from across the world and actually make sure that our voices are heard,” he said. “The Irish people in my view, are absolutely horrified by what they have seen in Gaza and are equally horrified by the failure of the international community to act accordingly. Ireland has to show leadership just as South Africa has shown leadership.”",0,1
2024/1/11,"‘Real fear’ people could be killed in arson attacks on accommodation for asylum seekers, says Varadkar Taoiseach anticipates arrests over the coming weeks in Garda investigations of incidents of arson Taoiseach Leo Varadkar said he has a “real fear” that people could be killed in future arson attacks targeting accommodation for asylum seekers or buildings earmarked to be used as accommodation. There have been several occasions in recent months where fires have broken out in buildings being refurbished to be used as accommodation for asylum seekers, or that were rumoured to be planned for use. Speaking on Thursday, Mr Varadkar said it was a “big worry” that someone would be killed in arson attacks targeting such properties. “I do have a real fear that somebody could be very severely injured, or somebody could lose their life because of somebody attacking either a proposed centre or an existing centre,” he said. Buildings earmarked for accommodating asylum seekers could still have someone inside the property, even if it appeared vacant, he said. “Nobody engaging in arson can know for sure that there isn’t someone in there, whether it is a night watchman, a security guard or perhaps somebody sleeping rough,” he said. “It is a big worry that I have and very much on my radar and a concern for the Minister for Justice and also the Garda,” he said. The Fine Gael leader said recent suspected arson attacks were under investigation by the Garda. “There have been searches – we anticipate there will be arrests in the coming weeks and the full force of the law will be felt by anyone who engages in arson or engages in violence,” he said. “Gardaí are very much aware of the risks that arise, not just when we seek to establish a new accommodation centre but when it comes to existing ones as well that sadly are potential targets,” he said. Mr Varadkar said mainstream politicians had previously “shied away” from talking about migration policy for fear of stoking concerns. “I think we’re way past that point now ... those of us in centre-ground politics need to be willing to engage in the debate on migration to explain to people what our migration policy is, how it works and that migration in the round has been a very good thing for Ireland,” he said. “It’s not a surprise that migration has become a hot topic in Irish politics – it is all over Europe, all over the world. It’s really important that those of us in the centre ground are not afraid to be involved in this debate,” he said. Mr Varadkar was speaking at a press conference in Pristina following a meeting with Kosovo prime minister Albin Kurti, during a two-day visit to the west Balkans. The future of Kosovo was “in the European Union”, Mr Varadkar said. “I am very keen to be an ally, a partner, supporter of Kosovo in your efforts to become a member of the Council of Europe this year and to begin the process of negotiations with the European Union around membership,” he said. Later on Thursday Mr Varadkar is to meet some of the 13 Defence Forces personnel posted to a peacekeeping force in Kosovo. The mission, known as KFOR, has remained in place since the end of the 1998-99 war, where a Nato air campaign caused Serbian forces to withdraw from Kosovo, its former province. Mr Varadkar is also due to travel to Montenegro and then North Macedonia to meet senior politicians in both countries.",0,1
2024/1/11,"Michael McGrath faces renewed demands to scrap pay cap at AIB The Government resumes efforts this week to sell down its remaining 40.8 per cent stake in the bank to private shareholders Minister for Finance Michael McGrath is facing renewed demands to scrap the €500,000 pay cap at Allied Irish Banks (AIB), after the lender said private investors find the measure “untenable”. As the Government resumes efforts this week to sell down its remaining 40.8 per cent stake in the bank to private shareholders, the Department of Finance released private files showing how AIB chairman Jim Pettigrew told the Minister the cap was “front of mind” in his meetings with investors. “We have now reached a pivotal point where the group is in majority private ownership and we continually receive strong feedback from investors that these restrictions are untenable,” Mr Pettigrew said in a letter to Mr McGrath. “We believe that without it being addressed, it will ultimately impact on the value of the State’s shareholding in the bank.” The bank, Ireland’s largest by market capitalisation, has long pressed for the removal of the cap because of concern that top executives may leave for better pay in lenders where such restrictions do not apply. Still, Mr Pettigrew’s intervention goes further than before to seek action directly from the Minister. The cap was imposed in 2009 as most of the banking system was nationalised after the financial crash, imposing huge costs on the State that led to an international bailout. The State’s controlling interest in AIB ended only last June when a share sale put private investors in a majority for the first time since its €20.8 billion taxpayer rescue. Mr Pettigrew, AIB chairman since 2021, was formerly chairman of UK lenders Virgin Money and Clydesdale Bank. When the Minister met him in November, Mr McGrath said the cap was under consideration and “will be reviewed at the appropriate time”. Although the Minister has not moved since then, Mr Pettigrew promised AIB “would operate in a responsible manner” while he was chairman if the cap was lifted. Both the AIB board and private investors see the cap as a “material talent retention risk” that puts that bank at a “significant disadvantage” to competitors, the chairman said in his September letter to the Minister. With elections this year, however, any move to ease bank pay restrictions could expose the Government to Opposition attack from parties who argue the cap should be retained because of the legacy of crisis. A department briefing note for the Minister’s meeting with Mr Pettigrew said “the eventual removal of the remuneration restriction does not mean a return to the past” because pay governance had been strengthened. There was no comment from AIB or the department on the files, released under the Freedom of Information Act after a request for correspondence with retail banks. The files show the Permanent TSB chairwoman, Julie O’Neill, also questioned the cap when she met the Minister in November. There were no records on Bank of Ireland, where a pay cap was scrapped in 2022 when it returned to full private ownership after part-nationalisation. Bank of Ireland chief executive Myles O’Grady is on a salary of €950,000. The salary of AIB chief executive Colin Hunt is €500,000. On Tuesday the department extended its AIB share trading plan until July, continuing the process of selling down the Government stake that stood at 71.12 per cent two years ago. Mr Pettigrew recognised AIB owed taxpayers “an immense debt of gratitude”, saying it was crucial to repay the taxpayer investment “in full” as soon as possible. AIB has to date returned €13.6 billion to the State, leaving a €7.2 billion deficit from bailout costs. The State’s stake is valued at €4.26 billion. The State retains 57.4 per cent of PTSB. In a briefing note for Mr McGrath before his meeting with Ms O’Neill, the department said she would raise PTSB board concerns in relation to pay caps. “She will highlight the uneven playing field that is in place for PTSB in terms of attracting and retaining senior executives, when compared with Bank of Ireland.” The meeting minutes said Mr McGrath and Ms O’Neill discussed “risks, including remuneration”. PTSB declined to comment.",0,1
2024/1/11,"Taoiseach begins two-day visit to west Balkans Varadkar to discuss recent flare-up in tensions between Kosovo and Serbia during visit  Taoiseach Leo Varadkar has begun a two-day visit to the Balkans where he is set to meet senior politicians in Kosovo, Montenegro and North Macedonia to discuss matters including their aspirations to become members of the European Union. Mr Varadkar is scheduled to meet Kosovo’s prime minister, Albin Kurti, on Thursday, as well as the president Vjosa Osmani-Sadriu. He is then due to visit Irish peacekeeping troops posted in Pristina, the country’s capital. Ireland has 13 Defence Forces personnel posted to a peacekeeping force in Kosovo. The mission, known as KFOR, has remained in place since the end of the 1998-99 war, where a Nato bombing campaign caused Serbian forces to withdraw from Kosovo, its former province. It is expected that Mr Varadkar and Mr Kurti will discuss the recent escalation of tensions between Kosovo and Serbia. Issues have arisen over the past year in northern Kosovo, where there is a large concentration of ethnic Serbs near the border with Serbia. A police officer and three gunmen were killed when fighting broke out between Kosovar police and an armed group of ethnic Serbs at a monastery last September. A number of peacekeeping troops were also injured last May during clashes between ethnic Serb protesters and Kosovar police. Ethnic Albanians make up a majority of Kosovo’s 1.8 million people. However, the 50,000 Serbs in the north remain largely aligned to Belgrade, despite Kosovo’s 2008 declaration of independence. Ahead of his meeting with Mr Kurti, Mr Varadkar said he intended to “particularly encourage” the Kosovar leader to focus on efforts to normalise relations with Serbia, which he said was “essential” to both having a “path to EU membership”. Mr Varadkar is to meet the president of Montenegro, Jakov Milatović, and prime minister Milojko Spajić later on Thursday. He is to travel to Skopje in North Macedonia on Friday to meet president Stevo Pendarovski and prime minister Dimitar Kovačevski. The Taoiseach said he believed the future of the countries “lies within the EU”. “I know that all three countries are committed to implementing the necessary reforms. I look forward to discussing how we in Ireland, and our partners across Europe, can help these three countries to achieve full EU membership,” he said in a statement.",0,1
2024/1/11,"People Before Profit calls for ‘total dismantlement’ of Israeli state Party rejects idea of ‘two-state solution’ in newly published pamphlet and call for new ‘secular, democratic Palestine’ in place of Israel People Before Profit has called for the “total dismantlement” of the state of Israel and its replacement with a “secular, democratic Palestine”. In a pamphlet published on Thursday, the group rejects the idea of a “two-state solution” and says: “The only way out now is a one-state solution, requiring the total dismantlement of the racist, Apartheid Israeli state and all of its repressive capacity, its military, its courts, police and prisons. Replacing it, a secular, democratic Palestine where equal rights are guaranteed to individuals regardless of their religious or ethnic identity.” The group has five TDs in the People Before Profit-Solidarity alliance, which include Richard Boyd-Barrett and Paul Murphy, and has been an outspoken critic of Israel in Dáil debates since the attacks on Israel by Hamas on October 7th and the huge military response by the Israeli Defence Forces in the Palestinian enclave of Gaza. In the pamphlet, entitled From the River to the Sea: The Struggle for Palestinian Liberation, the group rejects “western mainstream media” portrayals of Hamas. “Israel is a settler colonial society and inevitably this leads to a violent response from its subjects. The people of Gaza have been locked in an open prison for 17 years and so it is hardly surprising that some will try to break out and inflict suffering on their oppressors,” it says. It goes on to say: “The brutal realities of Zionism in its late stage of expansion are the backdrop for the events of October 7th when Hamas launched a do-or-die operation to break the 17-year siege on Gaza and to disrupt the complete colonisation of Palestine.” It also predicts that the Israeli assault on Gaza will add to the support for Palestinian armed resistance. “The loathing of Israel and the US will continue to result in increased Palestinian resistance. No matter how many Hamas fighters Israel executes, a new generation of fighters will arise. These in turn will be emboldened by the new wave of support for Palestine in the region and around the world.” The document dismisses Israeli opponents of the prime minister Binyamin Netanyahu government, and says that “Israeli democracy” is “a contradiction in terms”. Of protests against proposed judicial reforms in Israel, it says that “When half the population in historic Palestine is disenfranchised, these protests cannot be said to be about democracy. Instead, this was a case of the two wings of Zionism going up against one another to fight over how best to administer the oppression and dispossession of the Palestinian people.” “From the River to the Sea” is regarded by many Israelis and Jews as an anti-Semitic slogan, as they say it calls for the destruction of the State of Israel and of Israelis. At the launch of the pamphlet, Mr Boyd-Barrett was critical of the “ethno-nationalist supremacist ideology” of the Israeli state, but he has always rejected charges of anti-Semitism.",0,1
2024/1/12,"Taoiseach cannot ‘envisage’ sending Ukrainians home before war ends Decision to extend future protection to Ukrainians needs to apply across EU, Taoiseach says Taoiseach Leo Varadkar has said the Government could not “envisage” sending Ukrainian refugees back to Ukraine until the war with Russia was over. Under a European Union-wide directive, Ukrainians fleeing the war have been entitled to emergency accommodation, access to the labour market, education and social welfare. While the directive has been extended until March 2025, Mr Varadkar said the EU would need to agree on a way to continue to provide protection after that point. “I can’t envisage sending anyone back to Ukraine until it’s safe and anyone can see it is not safe ... I can’t envisage us being in a position to do that until the war is over,” he said. More than 100,000 Ukrainians have come to the Republic since the Russian invasion of Ukraine in early 2022, with experts projecting the conflict to potentially last for at least several more years. Mr Varadkar said it was not possible to consider letting the directive offering Ukrainians protection in EU countries expire. “I would be of the view for as long as this war is raging the European Union should continue to allow people from Ukraine to take refuge in our countries,” he said. “There are some parts of the country where the war is raging every day, there are other parts where they are subject to intermittent rocket attacks, but I don’t think it is true to say there is any part of Ukraine that is safe enough to go back to,” he said. “About 20,000 of the people who came to Ireland from Ukraine have now either gone back to Ukraine or gone elsewhere, but that’s a very different thing to sending somebody back to Ukraine,” he said. The Fine Gael leader said there needed to be a joint decision taken at EU level on the arrangements to continue to provide protection to Ukrainians. “A decision will have to be made on whether or not we extend the Temporary Protection Directive, I anticipate we will,” he said. “What we want to do is to continue to act as a European Union, as 27 [member states], because what wouldn’t really work for anyone is having different countries [having] different rules in relation to Ukraine,” he said. “We should try to stick together as 27, if different countries start doing different things that will create all sorts of problems that are hard to anticipate,” he said. Mr Varadkar was speaking to reporters in Pristina, the capital of Kosovo, after meeting the group of 13 Defence Forces troops stationed with the Nato-led peacekeeping mission in the west Balkan country. Earlier on Thursday he held separate meetings with Kosovo prime minister Albin Kurti and president Vjosa Osmani-Sadriu. Later that evening he travelled to Montenegro to meet prime minister Milojko Spajić, before a meeting the country’s president Jakov Milatović on Friday morning. The final leg of the two-day visit to the west Balkans will see Mr Varadkar travel to Skopje in North Macedonia on Friday afternoon, to meet president Stevo Pendarovski and prime minister Dimitar Kovačevski.",0,1
